wmoid	name	descript	lat	lon	elev
70398	ANN	ANNETTE ISLAND	5503	-13157	37
71109	YZT	PORT HARDY	5068	-12737	17
71119	WSE	EDMONTON/STONY PLAIN	5355	-11410	766
71203	YLW	KELOWNA APT	4997	-11938	454
71603	WQI	YARMOUTH	4387	-6605	9
71625	YWA	PETAWAWA/ARPT	4595	-7732	130
71722	YMW	MANIWAKI	4638	-7597	170
71811	YZV	SEPT ILES (UA)	5022	-6627	52
71816	YYR	GOOSE/GOOSE BAY	5330	-6037	36
71823	YAH	LA GRANDE IV	5375	-7367	307
71836	YMO	MOOSONEE	5127	-8065	10
71845	WPL	PICKLE LAKE	5147	-9020	386
71867	YQD	THE PAS	5397	-10110	273
71908	ZXS	PRINCE GEORGE	5390	-12280	601
72201	EYW	KEY WEST INT AP	2455	-8175	1
72202	MFL	MIAMI/FL INTL UNIV	2575	-8038	4
72206	JAX	JACKSONVILLE	3043	-8170	10
72208	CHS	CHARLESTON	3290	-8003	15
72210	TBW	TAMPA BAY/RUSKIN	2770	-8240	13
72214	TLH	TALLAHASEE	3045	-8430	52
72215	FFC	PEACHTREE CITY	3335	-8456	246
72230	BMX	BIRMINGHAM (SHELBY APT)	3310	-8670	178
72233	SIL	SLIDELL	3034	-8983	10
72235	JAN	JACKSON/THOMPSON FLD	3232	-9007	91
72240	LCH	LAKE CHARLES	3012	-9322	5
72248	SHV	SHREVEPORT REGIONAL AP	3245	-9384	85
72249	FWD	FT WORTH	3280	-9730	196
72250	BRO	BROWNSVILLE	2592	-9742	7
72251	CRP	CORPUS CHRISTI	2777	-9750	14
72261	DRT	DEL RIO	2937	-10092	313
72265	MAF	MIDLAND	3193	-10220	873
72274	TWC	TUSCON	3223	-11096	753
72293	NKX	MIRAMAR NAS	3285	-11712	134
72305	MHX	MOREHEAD CITY/NEWPORT	3470	-7680	11
72317	GSO	GREENSBORO	3608	-7995	277
72318	RNK	ROANOKE/BLACKSBURG	3720	-8041	648
72327	BNA	NASHVILLE	3625	-8657	180
72340	LZK	N LITTLE ROCK	3483	-9227	172
72355	FSI	FORT SILL	3465	-9840	362
72357	OUN	NORMAN	3523	-9747	362
72363	AMA	AMARILLO	3523	-10170	1095
72364	EPZ	SANTA TERESA	3190	-10670	1257
72365	ABQ	ALBUQUERQUE	3505	-10662	1619
72376	FGZ	FLAGSTAFF/BELLEMT (ARMY)	3523	-11182	2179
72387	DRA	DESERT ROCK/MERCURY	3662	-11602	1007
72393	VBG	VANDENBERG	3475	-12057	100
72402	WAL	WALLOPS ISLAND	3793	-7548	13
72403	IAD	STERLING(WASH DULLES)	3898	-7749	88
72426	ILN	WILMINGTON	3942	-8382	317
72440	SGF	SPRINGFIELD REGIONAL AP	3723	-9340	394
72456	TOP	TOPEKA	3907	-9563	268
72469	DNR	DENVER/STAPLETON ARPT	3977	-10487	1611
