wmoid	name	lat	lon	elev	descript	near_airport	reg	gps_date	latest
70398	ANN	5503	-13157	37	ANNETTE ISLAND	NULL	0,3,5,6,7,10,13,17	2009-11-02	2023-01-09 12:00:00
71109	YZT	5068	-12737	17	PORT HARDY	NULL	0,3,5,6,7,10,17	NULL	2023-01-09 12:00:00
71119	WSE	5355	-11410	766	EDMONTON/STONY PLAIN	CYEG	0,3,5,6,7,10,17	NULL	2023-01-09 12:00:00
71203	YLW	4997	-11938	454	KELOWNA APT	NULL	0,3,5,6,7,10,14,17	NULL	2017-07-01 00:00:00
71603	WQI	4387	-6605	9	YARMOUTH	NULL	0,3,5,6,7,10,14,18	NULL	2023-01-09 12:00:00
71625	YWA	4595	-7732	130	PETAWAWA/ARPT	NULL	0,3,5,6,7,10,14,15,18	NULL	NULL
71722	YMW	4638	-7597	170	MANIWAKI	NULL	0,1,3,6,7,10,14,18	NULL	2023-01-09 12:00:00
71811	YZV	5022	-6627	52	SEPT ILES (UA)	NULL	0,3,5,6,7,10,18	NULL	2023-01-09 12:00:00
71816	YYR	5330	-6037	36	GOOSE/GOOSE BAY	NULL	0,3,5,6,7,10,18	NULL	2023-01-09 12:00:00
71823	YAH	5375	-7367	307	LA GRANDE IV	NULL	0,3,5,6,7,10,18	NULL	2023-01-09 12:00:00
71836	YMO	5127	-8065	10	MOOSONEE	NULL	0,1,3,6,7,10,14,18	NULL	2023-01-09 12:00:00
71845	WPL	5147	-9020	386	PICKLE LAKE	NULL	0,1,3,6,7,10,14,18	NULL	2023-01-09 12:00:00
71867	YQD	5397	-10110	273	THE PAS	NULL	0,3,5,6,7,10,18	NULL	2023-01-09 12:00:00
71908	ZXS	5390	-12280	601	PRINCE GEORGE	NULL	0,3,5,6,7,10,17	NULL	2023-01-09 12:00:00
72201	EYW	2455	-8175	1	KEY WEST INT AP	NULL	0,3,5,6,7,10,14,18	2012-06-26	2023-01-09 12:00:00
72202	MFL	2575	-8038	4	MIAMI/FL INTL UNIV	MIA	0,3,5,6,7,10,14,18	2007-05-07	2023-01-09 12:00:00
72206	JAX	3043	-8170	10	JACKSONVILLE	NULL	0,1,4,6,7,10,14,18	2007-01-15	2023-01-09 12:00:00
72208	CHS	3290	-8003	15	CHARLESTON	NULL	0,1,3,6,7,10,14,18	2008-06-23	2023-01-09 12:00:00
72210	TBW	2770	-8240	13	TAMPA BAY/RUSKIN	TPA	0,3,5,6,7,10,14,18	2007-03-26	2023-01-09 12:00:00
72214	TLH	3045	-8430	52	TALLAHASEE	NULL	0,1,4,6,7,10,14,18	2006-03-13	2023-01-04 12:00:00
72215	FFC	3335	-8456	246	PEACHTREE CITY	ATL	0,1,3,6,7,10,14,18	2008-04-21	2023-01-09 12:00:00
72230	BMX	3310	-8670	178	BIRMINGHAM (SHELBY APT)	NULL	0,1,3,6,7,10,14,18	2007-03-12	2023-01-09 12:00:00
72233	SIL	3034	-8983	10	SLIDELL	MSY	0,1,3,6,7,10,14,18	2008-03-03	2023-01-09 12:00:00
72235	JAN	3232	-9007	91	JACKSON/THOMPSON FLD	NULL	0,1,3,6,7,10,14,18	2006-03-17	2023-01-09 12:00:00
72240	LCH	3012	-9322	5	LAKE CHARLES	NULL	0,4,5,6,7,10,14,16,18,56	2008-03-27	2023-01-09 12:00:00
72248	SHV	3245	-9384	85	SHREVEPORT REGIONAL AP	NULL	0,1,4,6,7,10,14,16,18,56	2006-04-10	2023-01-09 12:00:00
72249	FWD	3280	-9730	196	FT WORTH	DFW	0,1,3,6,7,10,14,16,18,56	2007-12-10	2023-01-09 12:00:00
72250	BRO	2592	-9742	7	BROWNSVILLE	NULL	0,3,5,6,7,10,14,18	2009-03-02	2023-01-09 12:00:00
72251	CRP	2777	-9750	14	CORPUS CHRISTI	NULL	0,4,5,6,7,10,14,18	2005-10-04	2023-01-09 12:00:00
72261	DRT	2937	-10092	313	DEL RIO	NULL	0,3,5,6,7,10,14,16,18	2008-06-09	2023-01-09 12:00:00
72265	MAF	3193	-10220	873	MIDLAND	NULL	0,4,5,6,7,10,14,16,18,56	2006-04-24	2023-01-09 12:00:00
72274	TWC	3223	-11096	753	TUSCON	NULL	0,3,5,6,7,10,14,17	2007-06-04	2023-01-09 12:00:00
72293	NKX	3285	-11712	134	MIRAMAR NAS	SAN	0,3,5,6,7,10,14,17	2010-05-03	2023-01-09 12:00:00
72305	MHX	3470	-7680	11	MOREHEAD CITY/NEWPORT	NULL	0,1,3,6,7,10,14,18	2007-01-29	2023-01-09 12:00:00
72317	GSO	3608	-7995	277	GREENSBORO	NULL	0,1,3,6,7,10,14,18	2007-02-12	2023-01-09 12:00:00
